Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C7, C9",0402,3,2u2,
"C10, C11, C12, C13, C14, C15, C17, C18, C19, C20, C22, C23, C24, C25, C6, C8",0201,16,100n,
C16,0201,1,1n,
C2,0805,1,47u,
C21,1210,1,47u,
C3,0805,1,22u,
"C4, C5",0201,2,15p,
D1,0805,1,LED Red,C84256
D2,0805,1,LED Orange,C84262
D3,D_SOD-123,1,6V,
D4,0805,1,LED Green,C84260
J1,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,1,SM03B-SRSS-TB,
J3,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,1,BM04B-SRSS-TB,
L1,L_Changjiang_FNR5020S,1,2u2,
Q1,SOT-523,1,DMG1012T,
"R1, R10, R11, R12, R4, R7, R8, R9",0402,8,100k,
"R13, R14, R15",0402,3,470,
"R16, R17, R6",0805,3,10m,
"R18, R2",0402,2,1k,
R3,0402,1,330k,
R5,0402,1,300,
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
"U2, U4, U5",TSSOP-8_4.4x3mm_P0.65mm,3,INA240A2PWR,
U3,QFN20_3x3_TRI,1,TMC6300-LA-T,
U6,W25Q16JVUXIQ_WIN,1,W25Q16JVUXIQ,
U7,10-WFDFN-EP_RIT-M,1,RT6150B-33GQW,
U8,SOT-23,1,LM4040DBZ-3,
U9,TSSOP-16_4.4x5mm_P0.65mm,1,MT6835GT-STD,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,X322512MSB4SI,
