Designator,Mid X,Mid Y,Rotation,Layer
C1,92.888,-86.792,90.0,top
C10,92.38,-100.3812,90.0,top
C11,87.2872,-92.1896,270.0,top
C12,87.2872,-95.7964,270.0,top
C13,92.9091,-90.6052,180.0,top
C14,96.4854,-93.0955,90.0,top
C15,93.6246,-99.797,180.0,top
C16,97.206,-88.5954,0.0,bottom
C17,114.4095,-107.833,90.0,bottom
C18,103.13,-96.5204,90.0,top
C19,104.0132,-90.5512,90.0,top
C2,105.334,-99.1364,90.0,top
C20,105.588,-93.142,270.0,top
C21,105.588,-86.538,43.11,top
C22,101.4028,-96.19,90.0,top
C23,93.65,-106.3606,270.0,bottom
C24,90.7544,-111.593,270.0,bottom
C25,104.2418,-97.3838,90.0,bottom
C3,111.0556,-98.73,90.0,top
C4,88.4888,-103.3702,90.0,top
C5,93.5688,-103.2178,90.0,top
C6,90.348,-87.808,180.0,top
C7,97.46,-91.999,270.0,top
C8,94.4331,-90.6052,180.0,top
C9,92.1471,-88.6748,270.0,top
D1,114.732,-96.19,0.0,top
D2,100.0,-100.0,90.0,top
D3,107.1374,-97.46,180.0,bottom
D4,94.7676,-114.224,90.0,top
J1,91.11,-110.287,319.0,top
J3,110.773528,-90.785798,130.538,top
L1,109.144,-103.3528,180.0,top
Q1,97.069,-90.094,0.0,bottom
R1,111.43,-96.444,0.0,top
R10,99.746,-93.65,180.0,top
R11,101.905,-90.35,270.0,top
R12,103.048,-90.348,270.0,top
R13,114.986,-94.666,180.0,top
R14,100.0,-102.794,90.0,top
R15,97.714,-99.238,270.0,top
R16,104.9276,-104.9784,90.0,top
R17,101.524,-109.652,90.0,top
R18,96.444,-115.748,90.0,top
R2,91.4148,-100.561,90.0,top
R3,98.9078,-89.076,90.0,bottom
R4,98.9078,-91.11,90.0,bottom
R5,94.92,-88.062,0.0,bottom
R6,104.5212,-109.7028,90.0,top
R7,99.492,-97.46,180.0,top
R8,99.748,-96.19,180.0,top
R9,99.748,-94.92,180.0,top
U1,91.91,-95.136,0.0,top
U2,110.0915,-108.595,90.0,bottom
U3,103.086,-93.5484,270.0,top
U4,98.73,-105.6896,270.0,bottom
U5,95.0724,-110.922,270.0,bottom
U6,89.2684,-89.5354,270.0,top
U7,108.2616,-98.222,90.0,top
U8,95.174,-85.776,0.0,bottom
U9,100.0,-100.0,90.0,bottom
Y1,91.0295,-103.3218,0.0,top
